iter	Passed	Remaining
462	778	903
463	779	900
464	780	898
465	781	895
466	782	892
467	783	890
468	784	888
469	788	889
470	790	887
471	791	884
472	792	882
473	793	880
474	794	877
475	795	875
476	795	872
477	796	870
478	797	867
479	798	865
480	799	862
481	803	863
482	804	861
483	806	859
484	807	856
485	807	854
486	808	851
487	809	849
488	810	847
489	811	845
490	812	842
491	813	840
492	814	837
493	818	838
494	820	837
495	821	834
496	822	832
497	823	830
498	824	828
499	825	825
500	826	823
501	827	820
502	828	818
503	829	816
504	833	816
505	834	814
506	835	812
507	836	810
508	838	808
509	839	806
510	840	804
511	841	802
512	842	799
513	844	798
514	846	797
515	848	795
516	849	793
517	850	791
518	851	789
519	852	787
520	853	784
521	854	782
522	855	780
523	856	777
524	857	775
525	858	773
526	859	771
527	859	768
528	864	769
529	866	768
530	867	766
531	868	764
532	869	761
533	870	759
534	871	757
535	872	755
536	873	752
537	874	750
538	875	748
539	878	748
540	879	746
541	881	744
542	882	742
543	883	740
544	884	738
545	885	736
546	886	734
547	887	732
548	888	729
549	889	727
550	890	725
551	895	726
552	896	724
553	897	722
554	898	720
555	899	718
556	900	716
557	901	714
558	902	712
559	903	709
560	904	707
561	905	705
562	908	705
563	910	703
564	911	701
565	912	699
566	913	697
567	914	695
568	916	693
569	917	692
570	919	690
571	922	690
572	923	688
573	924	686
574	925	684
575	926	682
576	927	679
577	928	677
578	929	675
579	930	674
580	932	672
581	933	670
582	934	668
583	934	665
584	937	665
585	941	665
586	942	662
587	943	661
588	944	659
589	945	657
590	946	655
591	948	653
592	949	651
593	949	649
594	950	647
595	954	646
596	956	645
597	958	644
598	960	642
599	961	640
600	962	638
601	963	636
602	963	634
603	964	632
604	965	630
605	970	630
606	971	629
607	972	627
608	973	625
609	975	623
610	976	621
611	977	619
612	978	617
613	979	615
614	979	613
615	980	611
616	984	611
617	986	609
618	987	607
619	988	605
620	989	603
621	990	601
622	991	599
623	992	597
624	993	596
625	994	594
626	995	592
627	996	590
628	998	589
629	999	587
630	1000	585
631	1001	583
632	1002	581
633	1003	579
634	1004	577
635	1005	575
636	1006	573
637	1007	571
638	1007	569
639	1008	567
640	1009	565
641	1010	563
642	1014	563
643	1016	562
644	1017	560
645	1018	558
646	1019	556
647	1020	554
648	1021	552
649	1022	550
650	1023	548
651	1024	546
652	1025	544
653	1031	545
654	1032	544
655	1033	542
656	1034	540
657	1035	538
658	1036	536
659	1037	534
660	1038	532
661	1040	531
662	1041	529
663	1052	532
664	1053	530
665	1054	528
666	1055	526
667	1056	524
668	1057	523
669	1060	522
670	1062	520
671	1063	519
672	1064	517
673	1065	515
674	1066	513
675	1067	511
676	1068	509
677	1069	507
678	1069	505
679	1070	503
680	1071	502
681	1073	500
682	1074	498
683	1075	497
684	1076	495
685	1078	493
686	1079	491
687	1080	489
688	1081	487
689	1082	486
690	1083	484
691	1084	482
692	1085	480
693	1087	479
694	1089	478
695	1091	476
696	1092	474
697	1093	473
698	1094	471
699	1095	469
700	1097	467
701	1098	466
702	1099	464
703	1100	462
704	1102	461
705	1103	459
706	1104	457
707	1105	455
708	1105	453
709	1106	452
710	1107	450
711	1111	449
712	1115	448
713	1116	447
714	1117	445
715	1119	443
716	1120	442
717	1121	440
718	1124	439
719	1127	438
720	1128	436
721	1130	435
722	1131	433
723	1132	431
724	1133	429
725	1134	428
726	1135	426
727	1136	424
728	1138	423
729	1139	421
730	1140	419
731	1141	417
732	1142	416
733	1143	414
734	1144	412
735	1145	410
736	1146	409
737	1147	407
738	1148	405
739	1149	403
740	1149	401
741	1150	400
742	1154	399
743	1155	397
744	1156	395
745	1158	394
746	1159	392
747	1160	390
748	1161	389
749	1162	387
750	1163	385
751	1164	383
752	1164	382
753	1165	380
754	1167	378
755	1168	377
756	1170	375
757	1171	373
758	1172	372
759	1172	370
760	1173	368
761	1174	366
762	1175	365
763	1176	363
764	1177	361
765	1178	359
766	1183	359
767	1185	358
768	1186	356
769	1187	354
770	1188	353
771	1189	351
772	1190	349
773	1191	347
774	1191	346
775	1192	344
776	1193	342
777	1198	342
778	1200	340
779	1201	339
780	1203	337
781	1205	336
782	1206	334
783	1208	332
784	1212	331
785	1213	330
786	1214	328
787	1215	327
788	1216	325
